Parola,Traduzione,Nota,Esempio,FileVideo,Spiegazione
Кричать,Urlare,Глагол несовершенного вида,Не кричи на меня! - Non urlare contro di me!,41_video.mp4,Это значит говорить очень громко когда человек злой или ему страшно
Орать,Urlare,Informale,Не ори на меня! - Non urlare contro di me!,42_video.mp4,Громко и сильно кричать.
Сосед по квартире,Coinquilino,Часто используют просто слово сосед,Мой сосед — студент. - Il mio coinquilino è uno studente.,43_video.mp4,Это человек который живет вместе с вами в одной квартире
Широкий,Largo,Антоним - узкий.,Это очень широкая улица. - Questa è una strada molto larga.,44_video.mp4,Это когда предмет имеет большое расстояние между сторонами.
Ширина,Larghezza,Sostantivo femminile,Ширина шкафа — один метр. (La larghezza dell'armadio è di un metro.),45_video.mp4,Это размер от одной стороны до другой
Слить воду с макарон,Scolare la pasta,Используйте дуршлаг,Слей воду с макарон. - Scola la pasta.,46_video.mp4,Вылить воду из кастрюли после варки
Икра,Polpaccio,Существительное женского рода,У него болит икра — Gli fa male il polpaccio,47_video.mp4,Это задняя часть ноги ниже колена
Задняя,Posteriore,Aggettivo femminile singolare,Задняя дверь открыта - La porta posteriore è aperta,48_video.mp4,Это слово значит сзади и это антоним слова передняя
Витраж,Vetrata,Può indicare sia un vetro colorato artistico che una grande parete vetrata.,В соборе красивые цветные витражи. - Nella cattedrale ci sono belle vetrate colorate.,49_video.mp4,Это красивое окно из цветного или простого стекла.
Колонна,Colonna,Слово похоже на итальянское,В центре площади стоит белая колонна. - Al centro della piazza c'è una colonna bianca.,50_video.mp4,Это высокая вертикальная часть здания
Ручей,Ruscello,Мужской род.,В лесу течёт маленький ручей. - Nel bosco scorre un piccolo ruscello.,51_video.mp4,Это маленькая река с чистой водой.
Стучать,Bussare,Si usa spesso con la preposizione 'в',Кто-то стучит в дверь - Qualcuno bussa alla porta,52_video.mp4,Это когда рука делает звук тук-тук в дверь
Дремать,Sonnecchiare,Глагол несовершенного вида,Кот дремает на диване - Il gatto sonnecchia sul divano,53_video.mp4,Это когда человек спит очень легко и недолго
Зевать,Sbadigliare,Глагол,"Ребёнок начал зевать, потому что он устал - Il bambino ha iniziato a sbadigliare perché era stanco",54_video.mp4,"Это когда человек открывает рот, потому что он хочет спать"
Улыбаться,Sorridere,Глагол несовершенного вида,Она часто улыбается - Lei sorride spesso,55_video.mp4,Это когда человек рад и его лицо весёлое
Печень,Fegato,Существительное женского рода,У него болит печень - Gli fa male il fegato,56_video.mp4,Это часть тела которая чистит кровь
Рама,Cornice,Часто сделана из дерева,Красивая рама для картины - Una bella cornice per il quadro,57_video.mp4,Это вещь вокруг картины или фотографии
Тюрьма,Prigione,Sostantivo femminile,Он сидит в тюрьме - Lui è in prigione,58_video.mp4,Это место для преступников
Парусник,Veliero,Слово происходит от слова «парус» (vela).,Красивый парусник плывёт по морю. - Un bel veliero naviga sul mare.,59_video.mp4,"Это большой корабль, который плывёт с помощью ветра и парусов."
Перерыв,Pausa,"Può indicare un intervallo tra due attività, come il lavoro, lo studio o il pranzo.",Сейчас перерыв на обед. - Adesso c'è la pausa pranzo.,60_video.mp4,"Это время, когда человек не работает и немного отдыхает."
Выходные,Weekend,Sostantivo sempre al plurale.,Хороших выходных! — Buon weekend!,61_video.mp4,Суббота и воскресенье — это дни отдыха.
Иначе,Altrimenti,Indica una conseguenza o un'alternativa,Поторопись иначе мы опоздаем - Sbrigati altrimenti faremo tardi,62_video.mp4,Используется для выбора другого варианта или результата
Торопиться,Sbrigarsi,Глагол несовершенного вида,Нам нужно торопиться - Dobbiamo sbrigarci,63_video.mp4,Делать что-то быстрее из-за нехватки времени
Опоздать,Arrivare in ritardo,Verbo perfettivo (imperfettivo: опаздывать),Я боюсь опоздать на поезд - Ho paura di arrivare in ritardo per il treno,64_video.mp4,Прийти или приехать позже чем нужно
Кататься на коньках,Andare sui pattini,Используется для спорта или хобби.,Я люблю кататься на коньках зимой. - Mi piace andare sui pattini in inverno.,65_video.mp4,Это движение по льду на коньках.
Иначе,Altrimenti,Синоним: в противном случае.,"Надень куртку, иначе ты заболеешь — Metti la giacca, altrimenti ti ammalerai.",66_video.mp4,Это слово указывает на другой вариант или последствие.
Обсуждать,Discutere,Глагол несовершенного вида.,Мы должны обсудить этот вопрос. - Dobbiamo discutere questa questione.,67_video.mp4,Говорить о чём-то вместе чтобы найти решение.
Сковорода,Padella,Существительное женского рода.,Положи мясо на сковороду - Metti la carne in padella,68_video.mp4,Это кухонная посуда для жарки еды.
падать,cadere,Глагол несовершенного вида.,Снег начинает падать - La neve comincia a cadere.,69_video.mp4,Двигаться вниз под действием силы тяжести.
Желудок,Stomaco,Sostantivo maschile,У меня болит желудок - Mi fa male lo stomaco,70_video.mp4,Это орган внутри человека для переваривания еды
Найти,Trovare,Глагол совершенного вида,Я нашёл ключи — Ho trovato le chiavi,71_video.mp4,Увидеть или получить то что искал
Совсем,Completamente/Affatto,Con la negazione «не» significa «per niente» o «affatto»,Я совсем не устал — Non sono affatto stanco,72_video.mp4,Это слово значит «полностью» или «абсолютно»
Проводить,Trascorrere,Часто используется в сочетании «проводить время»,Я люблю проводить время с друзьями — Mi piace trascorrere il tempo con gli amici,73_video.mp4,Это значит использовать время для отдыха или дел
Поболтать,Chiacchierare,Verbo perfettivo (indica una conversazione breve e informale),Мы решили немного поболтать. - Abbiamo deciso di fare due chiacchiere.,74_video.mp4,Немного поговорить о простых вещах.
Нельзя,Non si può / È vietato,Si usa con l'infinito ed è il contrario di можно.,Здесь нельзя курить - Qui non si può fumare.,75_video.mp4,Это значит что делать что-то запрещено.
интересоваться,interessarsi,Используется с творительным падежом (кем? чем?).,Я интересуюсь русской литературой. - Mi interesso di letteratura russa.,76_video.mp4,Хотеть знать больше о чём-то или о ком-то.
использовать,usare / utilizzare,Verbo biaspettuale (sia imperfettivo che perfettivo).,Я часто использую этот словарь. - Uso spesso questo dizionario.,77_video.mp4,Применять что-то для работы или достижения цели.
Карман,Tasca,Sostantivo maschile,Ключи в кармане - Le chiavi sono in tasca,78_video.mp4,Место в одежде для хранения мелких вещей
Лист,Foglia,Plurale irregolare: листья,Осенью жёлтый лист падает - In autunno la foglia gialla cade,79_video.mp4,Часть растения которая растет на дереве
Забыть,Dimenticare,Глагол (perf.),Я забыл пароль - Ho dimenticato la password,80_video.mp4,Когда вы больше не помните информацию или вещь.
Даже / Неужели,Addirittura,Часто используется как восклицание для выражения недоверия или восторга.,Он пришёл даже раньше! (Lui è arrivato addirittura prima!),81_video.mp4,Слово выражает сильное удивление или подчёркивает крайнюю степень факта.
Разрешать,Permettere,Синоним — «позволять»,Мама разрешает мне гулять - La mamma mi permette di uscire,82_video.mp4,Давать согласие на действие
Проколоть,Bucare,Часто используется для шин или пирсинга,Я проколол шину — Ho bucato la gomma,84_video.mp4,Сделать отверстие или дырку в чём-то острым
Жарить,Friggere,Глагол второго спряжения (-ere),Я жарю картошку - Friggo le patate,84_video.mp4,Готовить еду в горячем масле
Шум,Rumore,Мужской род,На улице сильный шум — In strada c'è un forte rumore,85_video.mp4,Громкие и неприятные звуки
Дышать,Respirare,Глагол несовершенного вида (исключение на -ать),Я люблю дышать свежим воздухом - Mi piace respirare aria fresca,86_video.mp4,Это когда мы впускаем и выпускаем воздух из лёгких.
Воздух,Aria,Мужской род,Свежий воздух - Aria fresca,87_video.mp4,Газ которым дышат люди и животные
Копчёный,Affumicato,Обычно про мясо или рыбу,Я люблю копчёный сыр. - Amo il formaggio affumicato.,88_video.mp4,Это еда приготовленная с помощью дыма
Успехов,Successi / In bocca al lupo,Genitivo plurale usato come augurio abbreviato.,Успехов в работе! - Successi nel lavoro!,89_video.mp4,Желаю удачи и хороших результатов.
Чашка,Tazza,Женский род,Чашка горячего чая - Una tazza di tè caldo,90_video.mp4,Это небольшая посуда для чая или кофе
Привет,Ciao,Informale,Привет Иван! — Ciao Ivan!,91_video.mp4,Это слово мы говорим друзьям при встрече
Поздравлять,Congratularsi,Несовершенный вид (НСВ),Мы любим поздравлять друзей — Amiamo fare gli auguri agli amici.,92_video.mp4,Говорить добрые слова в праздник
Желать,Desiderare / Augurare,Regge spesso il caso genitivo,Я желаю вам удачи! - Ti auguro buona fortuna!,93_video.mp4,Когда человек хочет что-то получить или говорит добрые слова
Ценить,Apprezzare,Относится к вещам и к людям,Я ценю твою помощь - Apprezzo il tuo aiuto,94_video.mp4,Понимать что это важно или хорошо
Одновременно,Contemporaneamente,Допустимы два варианта ударения: на второе О или на Е.,Мы начали говорить одновременно - Abbiamo iniziato a parlare contemporaneamente.,95_video.mp4,Когда два дела происходят в одно время.
Юбка,Gonna,Существительное женского рода.,Она купила новую юбку. - Ha comprato una gonna nuova.,96_video.mp4,Предмет женской одежды для нижней части тела.
Достоверный,Attendibile,Si usa spesso per notizie o fonti certe,Это достоверная информация. - Questa è un'informazione attendibile.,97_video.mp4,Это то чему можно верить потому что это правда
Половник,Mestolo,Инструмент для кухни,Я наливаю суп половником - Verso la zuppa con il mestolo,98_video.mp4,Это большая ложка для супа
Называться,Chiamarsi (oggetti),"Si usa per inanimati (per le persone si usa ""звать"")",Как называется эта книга? - Come si chiama questo libro?,101_video.mp4,Использовать для названий вещей или мест
Пароль,Password,Sostantivo maschile simile all'italiano,Введите ваш пароль. - Inserisci la tua password.,102_video.mp4,Секретное слово для входа в систему.
голод,fame,Существительное мужского рода.,Я чувствую сильный голод - Sento una forte fame,103_video.mp4,Это когда человек очень хочет есть.
Чувак,Tizio / Tipo,Slang informale usato tra amici,Привет чувак! - Ehi tipo!,104_video.mp4,Это слово значит парень или друг на сленге.
Шумный,Rumoroso,Прилагательное (maschile),Шумный город — Città rumorosa,105_video.mp4,Описание того что создает много шума
Означает,Significa,Форма глагола означать (3-е лицо ед. число).,Что это означает? - Cosa significa questo?,106_video.mp4,Этот глагол объясняет смысл чего-либо.
Значение,Significato,Sostantivo neutro,Какое значение у этого слова? - Qual è il significato di questa parola.,107_video.mp4,Это то что значит слово.
Частый,Frequente,Прилагательное,Частый гость - Un ospite frequente,108_video.mp4,Это то что происходит часто.
Экскурсия,Escursione,Sostantivo femminile.,Завтра у нас будет экскурсия по городу. - Domani avremo un'escursione per la città.,109_video.mp4,Это короткая поездка или прогулка для осмотра достопримечательностей.
Свежий,Fresco,Прилагательное,Свежий хлеб — Pane fresco,110_video.mp4,Это новый продукт или прохладная погода
Поход,escursione,Può riferirsi anche a una marcia militare o a un lungo viaggio.,Мы любим ходить в поход летом. - Ci piace andare a fare escursioni in estate.,111_video.mp4,Когда люди долго идут пешком в лес или в горы.
Прогулка,Passeggiata,Существительное женского рода,Вечерняя прогулка была хорошей — La passeggiata serale è stata bella,112_video.mp4,Это когда мы гуляем на улице для отдыха
Бульон,Brodo,Мужской род,Я люблю куриный бульон. - Mi piace il brodo di pollo.,113_video.mp4,"Горячая вода, в которой варили мясо или овощи"
Горные лыжи,Sci di discesa,Si usa solitamente al plurale per indicare sia l'attrezzatura che lo sport,Я люблю горные лыжи. - Amo lo sci di discesa.,114_video.mp4,Это популярный зимний спорт когда человек едет вниз с горы на лыжах
Осёл,Asino,Символ упрямства,У фермера есть осёл - Il contadino ha un asino,115_video.mp4,Животное похожее на маленькую лошадь с длинными ушами
Мадонна,Madonna,Существительное женского рода.,В соборе есть знаменитая Мадонна. - Nella cattedrale c'è una famosa Madonna.,116_video.mp4,Изображение Девы Марии в искусстве или религии.
Терпение,Pazienza,Sostantivo neutro,Нужно иметь терпение - Bisogna avere pazienza,117_video.mp4,Это когда человек может спокойно ждать
Пешком,A piedi,Avverbio di modo invariabile,Я всегда хожу на работу пешком - Vado sempre al lavoro a piedi,118_video.mp4,Идти ногами (не на транспорте)
Ребята,Ragazzi,Plurale di ребёнок usato comunemente per amici,Ребята пойдём в кино? - Ragazzi andiamo al cinema?,119_video.mp4,Дружеское обращение к группе людей
Помощь,Aiuto,Sostantivo femminile singolare,Мне нужна ваша помощь. - Ho bisogno del vostro aiuto.,120_video.mp4,Когда вы делаете что-то хорошее для другого человека
но,però,Синоним слова 'ma'.,Я устал но я работаю - Sono stanco però lavoro.,121_video.mp4,Это союз для противопоставления.
Помощь,Aiuto,В экстренных случаях кричат «Помогите!»,Мне нужна ваша помощь. — Ho bisogno del vostro aiuto.,122_video.mp4,Это когда вы даете поддержку человеку в трудный момент.
Из-за,A causa di / Da dietro,Используется с родительным падежом.,Из-за дождя мы дома. - A causa della pioggia siamo a casa.,123_video.mp4,Предлог для указания причины или места.
Поддержка,Supporto,Sostantivo femminile,Спасибо за вашу поддержку! - Grazie per il vostro supporto!,124_video.mp4,Когда вы помогаете другому человеку словами или делами
Стиральная машина,Lavatrice,Женский род,Стиральная машина работает - La lavatrice funziona,125_video.mp4,Это техника для стирки одежды
Стирка,Lavaggio,Sostantivo femminile derivato dal verbo стирать,Сегодня большая стирка. - Oggi c'è un grande bucato.,126_video.mp4,Процесс мытья одежды в воде с мылом или порошком
Развешивать,Appendere / Stendere,Aspetto imperfettivo (НСВ),Она начала развешивать бельё на балконе — Ha iniziato a stendere i panni sul balcone,127_video.mp4,Вешать много предметов на разные места или делить товар по весу
Наливать,Versare,Verbo imperfettivo (perfetto: налить),Я наливаю чай в чашку - Verso il tè nella tazza,128_video.mp4,"Лить воду, чай или сок в стакан."
Нехватка,Mancanza,Sostantivo femminile,Нехватка времени - Mancanza di tempo,129_video.mp4,Когда чего-то мало или недостаточно
Искренний,Sincero,Применяется к людям и чувствам.,Он искренний человек — È una persona sincera.,130_video.mp4,Это человек который говорит правду и не обманывает.
Мусор,Spazzatura,Sostantivo maschile sempre singolare,Нужно вынести мусор - Bisogna buttare la spazzatura,131_video.mp4,Это ненужные вещи которые мы выбрасываем
Ремонта,della riparazione / ristrutturazione,"Caso genitivo di ""ремонт"" (nominativo: ремонт).",Дом требует ремонта. - La casa richiede una ristrutturazione.,132_video.mp4,Исправление поломок или обновление помещений.
Спорить,Discutere,Verbo imperfettivo,Друзья любят спорить о футболе - Gli amici amano discutere di calcio,133_video.mp4,Когда люди говорят и не согласны
Вынести,Portare fuori,Verbo perfettivo (anche per sopportare),Вынеси пожалуйста мусор. - Porta fuori la spazzatura per favore.,134_video.mp4,Взять что-то внутри и переместить наружу.
Кастрюля,Pentola,Женский род.,Мама варит вкусный суп в кастрюле - La mamma cucina una zuppa deliziosa nella pentola.,135_video.mp4,Это большая глубокая посуда для приготовления супа или другой еды.
Ремень,Cintura,Мужской род,Я купил кожаный ремень - Ho comprato una cintura di pelle.,136_video.mp4,Это аксессуар для брюк или одежды.
Настольная игра,Gioco da tavolo,Слово происходит от «на столе».,Мы играем в настольную игру. - Giochiamo a un gioco da tavolo.,137_video.mp4,Это игра на столе с друзьями или семьёй.
Интенсивный,Intenso,Используется для описания чувств или действий.,У него интенсивный график. - Ha un programma intenso.,138_video.mp4,Это значит очень сильный или активный.
Плотный,Denso / Fitto / Compatto,Si usa per descrivere materiali / programmi di lavoro (grafik) / pasti abbondanti.,У меня сегодня очень плотный график. - Oggi ho un programma molto fitto.,139_video.mp4,Это когда внутри предмета нет пустого места или когда дел очень много.
Наконец-то,Finalmente,Часто выражает облегчение или радость,Наконец-то ты пришёл! - Finalmente sei arrivato!,140_video.mp4,Используется когда происходит долгожданное событие
Артишок,Carciofo,Мужской род,Я ем артишок - Mangio un carciofo,141_video.mp4,Это зеленый овощ
Ноготь,Unghia,Sostantivo maschile,У неё длинные ногти. - Lei ha le unghie lunghe.,142_video.mp4,Твердая часть на конце пальца руки или ноги
Загорать,Prendere il sole,Глагол несовершенного вида (НСВ),Мы любим загорать на пляже - Ci piace prendere il sole in spiaggia,143_video.mp4,Лежать на солнце чтобы кожа стала коричневой
Вонять,Puzzare,Глагол,Эти старые носки воняют — Questi vecchi calzini puzzano,144_video.mp4,Иметь очень неприятный запах
Распаковка,Unboxing,Часто используется блогерами.,Новая распаковка на моём канале - Nuovo unboxing sul mio canale.,145_video.mp4,Когда человек открывает новую коробку или покупку.
Выбор,Scelta,Sostantivo maschile,Это мой выбор - Questa è la mia scelta,146_video.mp4,Когда вы решаете что взять или что делать
Отращивать,Far crescere,Aspetto imperfettivo (usato per barba o capelli),Он решил отращивать бороду (Ha deciso di farsi crescere la barba),147_video.mp4,Давать волосам или ногтям вырасти
Поправить,Correggere / Sistemare,Verbo perfettivo usato per vestiti o piccoli errori,Поправить галстук — Sistemare la cravatta,148_video.mp4,Сделать правильно или красиво
Обманывать,Ingannare,Imperfettivo (perf. обмануть),Нехорошо обманывать друзей - Non è bene ingannare gli amici,149_video.mp4,Говорить неправду или скрывать истину
Истина,Verità,Indica una verità assoluta o filosofica.,Истина где-то рядом - La verità è là fuori.,150_video.mp4,Это глубокое и верное знание о мире.
Одеваться,Vestirsi,Глагол несовершенного вида (imperfettivo),Я быстро одеваюсь - Mi vesto velocemente,151_video.mp4,Это когда человек надевает одежду на себя
Надевать,Mettersi / Indossare,Imperfettivo (perfettivo: надеть). Si usa per l'oggetto indossato; non confondere con одевать (vestire qualcuno).,Я надеваю пальто. (Mi metto il cappotto).,152_video.mp4,Надевать одежду или аксессуары на себя или на другого.
Плавать,Navigare,"Глагол движения; для интернета обычно говорят ""сидеть в интернете"".",Мы любим плавать на лодке по озеру. - Ci piace navigare in barca sul lago.,153_video.mp4,Это слово значит двигаться по воде на корабле или в лодке.
Пятка,Tallone,Parte posteriore del piede o di una calza/scarpa,У меня болит пятка - Mi fa male il tallone,154_video.mp4,Задняя часть стопы человека
Губа,Labbro,Женский род. Множественное число — губы.,У неё красные губы. - Lei ha le labbra rosse.,155_video.mp4,Это часть лица вокруг рта. У человека есть верхняя и нижняя губа.
Терпеть,Sopportare,"Spesso usato nella forma negativa ""не терпеть"" (non sopportare)",Я не могу больше терпеть эту боль. - Non posso più sopportare questo dolore.,156_video.mp4,Быть спокойным когда трудно или больно и ждать
соревнование,gara; competizione,Существительное среднего рода,Завтра будет спортивное соревнование. - Domani ci sarà una gara sportiva.,157_video.mp4,Это событие когда люди или команды хотят победить в спорте
самый,il più,Изменяется по родам и числам (самая/самое/самые).,Это самый большой дом — Questa è la casa più grande.,158_video.mp4,Используется для превосходной степени прилагательных.
серебряный,d'argento,Aggettivo maschile,У меня есть серебряный браслет - Ho un braccialetto d'argento,159_video.mp4,Сделанный из серебра или имеющий цвет серебра
бронзовый,di bronzo,Si usa per il materiale o il colore.,У спортсмена бронзовая медаль - L'atleta ha una medaglia di bronzo,160_video.mp4,Этот цвет или предмет сделан из металла.
меньше,meno,Indica una quantità minore o una dimensione ridotta.,Я ем меньше сахара. - Mangio meno zucchero.,161_video.mp4,"Это сравнительная форма слов ""маленький"" и ""мало""."
крепкий,forte,"Si usa per bevande (tè/caffè), salute, materiali o legami",Я люблю крепкий чёрный чай - Mi piace il tè nero forte,162_video.mp4,"Очень сильный, твёрдый или надёжный (о чае, здоровье, материале)"
Сотрудник,Impiegato,Termine generico per lavoratore dipendente.,Он — новый сотрудник компании. - Lui è un nuovo impiegato dell'azienda.,163_video.mp4,"Человек, который работает в компании или офисе."
Повод,Motivo / Pretesto,"Spesso usato con la preposizione ""для"" + genitivo",У меня есть хороший повод для праздника - Ho un buon motivo per festeggiare,164_video.mp4,Это причина почему мы что-то делаем
Зависимость,Dipendenza,Sostantivo femminile,У него зависимость от кофе - Ha una dipendenza dal caffè,165_video.mp4,Когда человек не может жить без чего-то
Список,Elenco,Мужской род,Вот список покупок - Ecco l'elenco della spesa,166_video.mp4,Это перечень слов или имён
Причина,Motivo,Sostantivo femminile,В чём причина? - Qual è la causa?,167_video.mp4,То почему что-то происходит
Возможно,Forse,Si usa per esprimere probabilità o incertezza,Возможно он придёт сегодня - Forse lui verrà oggi,168_video.mp4,Это слово значит что что-то может быть
Предлагать,Offrire/Proporre,Aspetto imperfettivo (perf. предложить),Я предлагаю пойти в кино (Propongo di andare al cinema),169_video.mp4,Давать идею или вещь кому-то.
Заголовок,Titolo,Синоним слова название.,Какой интересный заголовок! - Che titolo interessante!,170_video.mp4,Это текст в начале статьи или книги.
Верно,Giusto,Avverbio o aggettivo breve,Это верно - È giusto,173_video.mp4,Это слово значит правильно.
Преть,Marcire / Sudare,Обычно о растениях или коже,Листья начали преть - Le foglie hanno iniziato a marcire,174_video.mp4,Когда что-то портится от влаги и тепла
Потный,Sudato,"Dal verbo ""sudare""",Он был потный после бега - Era sudato dopo la corsa,175_video.mp4,Когда человеку очень жарко или он много занимался спортом
Медленный,Lento,Может быть наречием «медленно».,Этот поезд очень медленный — Questo treno è molto lento.,176_video.mp4,Это слово означает «не быстрый».
Рынок,Mercato,Sostantivo maschile,Я иду на рынок за овощами - Vado al mercato a prendere le verdure,177_video.mp4,Место где люди покупают и продают товары
Долго,A lungo,Наречие времени. Часто используется с глаголами НСВ.,Я долго ждал автобус. - Ho aspettato l'autobus a lungo.,178_video.mp4,Это значит «много времени».
Хвост,Coda,Используется также для обозначения академической задолженности (экзаменов).,У собаки длинный хвост. - Il cane ha una coda lunga.,179_video.mp4,Часть тела животного сзади или длинная очередь.
Разбудить,Svegliare,Глагол совершенного вида,Разбуди меня в семь часов - Svegliami alle sette,180_video.mp4,Сделать так чтобы человек перестал спать
Гонка,Corsa (gara),Существительное (ж.р.),Гонка началась вовремя. - La gara è iniziata in tempo.,181_video.mp4,Это спортивное соревнование в скорости.
Парилка,Sauna (stanza del vapore),"Deriva da ""пар"" (vapore)",В парилке очень жарко - Nella sauna fa molto caldo,182_video.mp4,Это жаркое место в бане где есть пар
Обозначить,Indicare,Verbo perfettivo (imp: обозначать),Обозначить точку на карте - Indicare un punto sulla mappa,183_video.mp4,Показать что-то с помощью знака
Сумерки,Crepuscolo,Существительное только во множественном числе,В сумерках город очень красив. - Al crepuscolo la città è molto bella.,184_video.mp4,"Это время вечером, когда солнце зашло, но еще не ночь"
Абонемент,Abbonamento,Sostantivo maschile usato per servizi periodici,У меня есть абонемент в бассейн. - Ho un abbonamento per la piscina.,185_video.mp4,Документ для долгого пользования услугами (спортзал или транспорт)
Сеть,Rete,Sostantivo femminile,Я использую социальную сеть - Uso un social network,186_video.mp4,Группа связанных предметов или система (интернет)
Охотиться,Cacciare,"Verbo imperfettivo regge ""на"" + Accusativo.",Он любит охотиться в лесу - Gli piace cacciare nel bosco.,187_video.mp4,Искать и ловить диких животных.
Дунуть,Soffiare,Aspetto perfettivo di дуть,Дунуть на горячий чай - Soffiare sul tè caldo,188_video.mp4,Выпустить воздух изо рта один раз
Задуть,Spegnere soffiando,Verbo perfettivo (imperfettivo: задувать),Задуй свечу - Spegni la candela,189_video.mp4,Погасить свечу или огонь с помощью воздуха
Настаивать,Insistere,"Regge la preposizione ""на"" e il caso prepositivo",Я настаиваю на этом - Insisto su questo,190_video.mp4,Продолжать говорить или делать что-то
Надёжный,Affidabile,Si usa per descrivere chi non tradisce o oggetti che non si rompono,Это очень надёжная машина - Questa è un'auto molto affidabile,191_video.mp4,Человек или вещь которым можно доверять
Успеть,Fare in tempo,Глагол совершенного вида (СВ),Я должен успеть на поезд - Devo fare in tempo per il treno,192_video.mp4,Сделать что-то вовремя
Поспешить,Affrettarsi,Aspetto perfettivo (SV),Мне нужно поспешить на вокзал. - Devo affrettarmi alla stazione.,193_video.mp4,Сделать что-то очень быстро
Новоселье,Inaugurazione della casa,Sostantivo neutro,Мы празднуем новоселье. - Festeggiamo l'inaugurazione della casa.,194_video.mp4,Праздник в честь переезда в новый дом или квартиру
Фисташка,Pistacchio,Существительное женского рода,Я люблю фисташки. - Mi piacciono i pistacchi.,195_video.mp4,Это вкусный орех зелёного цвета
Запад,Ovest,"Si usa spesso con la preposizione ""на"".",Мы едем на запад - Andiamo a ovest.,196_video.mp4,Это сторона света где заходит солнце.
Слуга,Servo,Мужской род (склоняется как женский на -а),Верный слуга открыл дверь. - Il fedele servo aprì la porta.,197_video.mp4,"Человек, который работает в доме и помогает хозяину."
Чистить,Pulire / Sbucciare,Verbo imperfettivo,Я чищу зубы - Mi lavo i denti,198_video.mp4,Делать вещь чистой или снимать кожуру
Серьга,Orecchino,Существительное женского рода,У неё красивые серьги. - Lei ha dei begli orecchini.,199_video.mp4,Это украшение для ушей
Грудка,Petto (di pollo),"Diminutivo di ""грудь"" usato spesso in cucina",Куриная грудка очень полезная. - Il petto di pollo è molto salutare.,200_video.mp4,Часть тела птицы или животного которую мы едим
Жрать,Mangiare (volgare),Parola colloquiale e spesso offensiva,Хватит жрать! - Smettila di abbuffarti!,201_video.mp4,Очень много и жадно кушать
Веко,Palpebra,Sostantivo neutro,Моё веко дёргается - La mia palpebra trema,202_video.mp4,Часть тела которая закрывает глаз
